Geography,Year,Sex,Incidence Rate (Age-standardized),Incident Cases (Across all ages),Population At-Risk (Across All Ages),Standard Error,Standard Score,Alberta Rate
AB,2004,BOTH,24.141,547.0,3234889.1101,1.04,0.0,24.141
AB,2004,FEMALE,17.354,223.0,1596957.4036,1.17,0.0,17.354
AB,2004,MALE,33.816,324.0,1637931.7065,1.95,0.0,33.816
AB,2005,BOTH,24.936,590.0,3317829.9011,1.03,0.0,24.936
AB,2005,FEMALE,16.865,220.0,1636935.6734,1.14,0.0,16.865
AB,2005,MALE,35.595,370.0,1680894.2278,1.91,0.0,35.595
AB,2006,BOTH,24.209,587.0,3417290.564,1.0,0.0,24.209
AB,2006,FEMALE,18.961,255.0,1682756.8846,1.19,0.0,18.961
AB,2006,MALE,31.565,332.0,1734533.6794,1.78,0.0,31.565
AB,2007,BOTH,24.627,616.0,3509924.9312,1.0,0.0,24.627
AB,2007,FEMALE,18.289,255.0,1725022.6412,1.15,0.0,18.289
AB,2007,MALE,33.082,361.0,1784902.29,1.79,0.0,33.082
AB,2008,BOTH,22.229,578.0,3591532.1715,0.93,0.0,22.229
AB,2008,FEMALE,15.812,227.0,1763974.9392,1.05,0.0,15.812
AB,2008,MALE,30.599,351.0,1827557.2323,1.68,0.0,30.599
AB,2009,BOTH,25.195,673.0,3674594.8623,0.98,0.0,25.195
AB,2009,FEMALE,18.837,278.0,1805011.1706,1.13,0.0,18.837
AB,2009,MALE,33.61,395.0,1869583.6917,1.74,0.0,33.61
AB,2010,BOTH,25.232,692.0,3727523.8008,0.96,0.0,25.232
AB,2010,FEMALE,17.428,261.0,1835035.7664,1.08,0.0,17.428
AB,2010,MALE,35.286,431.0,1892488.0344,1.74,0.0,35.286
AB,2011,BOTH,25.488,721.0,3784316.9516,0.95,0.0,25.488
AB,2011,FEMALE,18.587,289.0,1866726.4176,1.1,0.0,18.587
AB,2011,MALE,34.139,432.0,1917590.534,1.67,0.0,34.139
AB,2012,BOTH,24.154,708.0,3869643.6047,0.91,0.0,24.154
AB,2012,FEMALE,17.935,286.0,1909001.4237,1.06,0.0,17.935
AB,2012,MALE,31.937,422.0,1960642.181,1.58,0.0,31.937
AB,2013,BOTH,23.005,699.0,3975952.3576,0.87,0.0,23.005
AB,2013,FEMALE,16.695,276.0,1959379.4313,1.01,0.0,16.695
AB,2013,MALE,30.956,423.0,2016572.9263,1.54,0.0,30.956
AB,2014,BOTH,23.783,750.0,4078474.2683,0.87,0.0,23.783
AB,2014,FEMALE,17.13,292.0,2009505.4096,1.01,0.0,17.13
AB,2014,MALE,32.318,458.0,2068968.8586,1.54,0.0,32.318
AB,2015,BOTH,24.775,796.0,4139150.8221,0.88,0.0,24.775
AB,2015,FEMALE,17.915,312.0,2043081.0883,1.02,0.0,17.915
AB,2015,MALE,33.338,484.0,2096069.7338,1.54,0.0,33.338
AB,2016,BOTH,29.627,980.0,4190365.5072,0.95,0.0,29.627
AB,2016,FEMALE,21.156,379.0,2075370.0465,1.09,0.0,21.156
AB,2016,MALE,40.467,601.0,2114995.4607,1.68,0.0,40.467
AB,2017,BOTH,29.394,1013.0,4235069.123,0.93,0.0,29.394
AB,2017,FEMALE,21.429,400.0,2101775.7001,1.08,0.0,21.429
AB,2017,MALE,39.596,613.0,2133293.4229,1.63,0.0,39.596
AB,2018,BOTH,28.824,1036.0,4291902.8087,0.9,0.0,28.824
AB,2018,FEMALE,20.429,397.0,2131327.3393,1.03,0.0,20.429
AB,2018,MALE,39.03,639.0,2160575.4694,1.57,0.0,39.03
AB,2019,BOTH,29.181,1101.0,4354944.9212,0.89,0.0,29.181
AB,2019,FEMALE,21.923,443.0,2164649.5539,1.05,0.0,21.923
AB,2019,MALE,38.16,658.0,2190295.3673,1.52,0.0,38.16
AB,2020,BOTH,26.747,1054.0,4414808.8323,0.83,0.0,26.747
AB,2020,FEMALE,17.548,372.0,2195521.9202,0.92,0.0,17.548
AB,2020,MALE,37.939,682.0,2219286.912,1.48,0.0,37.939
Z1,2004,BOTH,28.477,64.0,258451.51858,3.59,1.21,24.141
Z1,2004,FEMALE,21.951,28.0,127923.24151,4.22,1.09,17.354
Z1,2004,MALE,39.507,36.0,130528.27707,6.67,0.85,33.816
Z1,2005,BOTH,19.728,45.0,263556.81555,2.96,-1.76,24.936
Z1,2005,FEMALE,15.014,19.0,130375.96154,3.51,-0.53,16.865
Z1,2005,MALE,26.727,26.0,133180.85401,5.3,-1.67,35.595
Z1,2006,BOTH,21.912,50.0,268118.11676,3.12,-0.74,24.209
Z1,2006,FEMALE,22.355,28.0,132480.57437,4.3,0.79,18.961
Z1,2006,MALE,21.731,22.0,135637.5424,4.66,-2.11,31.565
Z1,2007,BOTH,20.45,50.0,274279.69049,2.9,-1.44,24.627
Z1,2007,FEMALE,15.153,21.0,135303.4807,3.34,-0.94,18.289
Z1,2007,MALE,27.798,29.0,138976.2098,5.19,-1.02,33.082
Z1,2008,BOTH,27.544,68.0,279427.10752,3.35,1.59,22.229
Z1,2008,FEMALE,20.657,28.0,138027.92908,3.95,1.23,15.812
Z1,2008,MALE,37.58,40.0,141399.17844,5.99,1.17,30.599
Z1,2009,BOTH,25.727,65.0,283296.36793,3.2,0.17,25.195
Z1,2009,FEMALE,22.806,32.0,139921.14582,4.08,0.97,18.837
Z1,2009,MALE,29.671,33.0,143375.22211,5.2,-0.76,33.61
Z1,2010,BOTH,17.479,45.0,286720.57387,2.61,-2.97,25.232
Z1,2010,FEMALE,12.961,19.0,141863.53488,3.01,-1.49,17.428
Z1,2010,MALE,23.246,26.0,144857.039,4.59,-2.63,35.286
Z1,2011,BOTH,27.108,71.0,288684.92556,3.22,0.5,25.488
Z1,2011,FEMALE,19.584,28.0,143152.03473,3.75,0.27,18.587
Z1,2011,MALE,37.012,43.0,145532.89083,5.67,0.51,34.139
Z1,2012,BOTH,28.054,74.0,291064.05749,3.27,1.19,24.154
Z1,2012,FEMALE,15.944,22.0,144379.01771,3.43,-0.58,17.935
Z1,2012,MALE,43.645,52.0,146685.03979,6.08,1.93,31.937
Z1,2013,BOTH,25.024,69.0,293677.65749,3.02,0.67,23.005
Z1,2013,FEMALE,22.346,34.0,145714.87737,3.86,1.46,16.695
Z1,2013,MALE,28.049,35.0,147962.78012,4.76,-0.61,30.956
Z1,2014,BOTH,21.295,60.0,296964.18204,2.76,-0.9,23.783
Z1,2014,FEMALE,14.846,24.0,147674.72222,3.07,-0.74,17.13
Z1,2014,MALE,28.887,36.0,149289.45982,4.83,-0.71,32.318
Z1,2015,BOTH,25.962,74.0,298192.71166,3.03,0.39,24.775
Z1,2015,FEMALE,17.515,28.0,148550.82181,3.36,-0.12,17.915
Z1,2015,MALE,35.746,46.0,149641.88985,5.29,0.46,33.338
Z1,2016,BOTH,24.07,70.0,299912.85852,2.89,-1.92,29.627
Z1,2016,FEMALE,16.062,25.0,149692.29639,3.25,-1.57,21.156
Z1,2016,MALE,34.045,45.0,150220.56213,5.09,-1.26,40.467
Z1,2017,BOTH,30.972,92.0,302615.85285,3.25,0.49,29.394
Z1,2017,FEMALE,23.923,38.0,151219.73821,3.92,0.64,21.429
Z1,2017,MALE,40.275,54.0,151396.11464,5.52,0.12,39.596
Z1,2018,BOTH,33.202,103.0,305338.53353,3.3,1.33,28.824
